                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3185,                 1.7739,                 2.5184,                 0.7895,                0.41999,                0.51661,                0.18953,                 2.5576,                 1.8137,                  2.894,              0.0011224,              0.0011224,              0.0011224
                     36,                 2.2752,                 1.7477,                 2.4466,                0.54952,                0.48884,                0.54625,                0.18865,                  2.565,                 1.7113,                 2.8422,              0.0011059,              0.0011059,              0.0011059
                     37,                 2.2643,                 1.6938,                 2.4256,                0.47133,                0.46382,                0.46332,                0.13056,                 2.7861,                 1.8146,                 3.0119,              0.0010894,              0.0010894,              0.0010894
                     38,                 2.2142,                 1.6983,                 2.3913,                0.55397,                0.55663,                0.55275,                0.18833,                 2.5062,                 1.7998,                 2.8142,              0.0010729,              0.0010729,              0.0010729
                     39,                 2.2431,                 1.6915,                 2.3992,                0.65349,                0.54143,                0.61077,                0.22027,                 2.5577,                 1.6562,                 2.8615,              0.0010564,              0.0010564,              0.0010564
                     40,                 2.1959,                 1.6874,                 2.4329,                0.53857,                0.61714,                  0.596,                0.20021,                 2.6325,                 1.6601,                  2.935,              0.0010399,              0.0010399,              0.0010399
                     41,                 2.1656,                 1.6476,                 2.3698,                0.49891,                0.69146,                0.61902,                0.20022,                 2.5751,                  1.702,                 2.8571,              0.0010234,              0.0010234,              0.0010234
                     42,                  2.163,                 1.7105,                 2.4131,                0.50154,                0.56286,                 0.5692,                0.20975,                 2.7252,                 1.6814,                 2.9387,              0.0010069,              0.0010069,              0.0010069
                     43,                 2.1303,                 1.6294,                 2.3658,                0.58099,                0.58143,                0.62105,                 0.2365,                 2.5185,                 1.6244,                 2.7947,             0.00099036,             0.00099036,             0.00099036
                     44,                 2.1171,                 1.6192,                 2.3493,                0.62385,                0.58857,                0.64845,                0.22819,                 2.5015,                 1.5743,                 2.8087,             0.00097386,             0.00097386,             0.00097386
                     45,                 2.1402,                 1.5533,                 2.2813,                0.52438,                0.59307,                0.60711,                0.19323,                 2.4537,                 1.6592,                 2.7827,             0.00095736,             0.00095736,             0.00095736
                     46,                 2.1547,                 1.6103,                 2.3665,                0.61534,                0.58295,                0.65641,                0.23484,                 2.3124,                 1.6007,                 2.6463,             0.00094085,             0.00094085,             0.00094085
                     47,                 2.0373,                 1.5515,                 2.2996,                0.43127,                0.63513,                0.58008,                0.22676,                 2.3905,                 1.7126,                 2.7309,             0.00092435,             0.00092435,             0.00092435
                     48,                 2.0583,                 1.5487,                 2.2955,                0.51724,                0.50286,                0.53057,                0.18732,                 2.5183,                 1.7811,                 2.8294,             0.00090785,             0.00090785,             0.00090785
